製品,製品単位,部品,必要量,部品単位,行番,不要
3/D1877,K,1/81671,0.22,K,2,2
3/D1877,K,1/24031,0.82,K,3,3
3/D2327,K,1/13901,1.02,K,2,2
3/D2337,K,1/13901,1.02,K,2,2
3/D2357,K,1/13901,1.02,K,2,2
3/D2606,K,1/25511,0.79,K,2,2
3/D2606,K,1/24031,0.24,K,3,3
3/D3294,K,1/15921,1.02,K,2,2
3/D3833,K,1/24061,1.03,K,2,2
3/D3896,K,1/24100,1.02,K,2,2
3/D3907,K,1/24100,1.02,K,2,2
3/D3917,K,1/24100,1.02,K,2,2
3/D4194,K,1/12521,1.03,K,2,2
3/D4867,K,1/13081,1.02,K,2,2
3/D4877,K,1/13081,1.02,K,2,2
3/D4907,K,1/13071,1.02,K,2,2
3/D4917,K,1/13071,1.02,K,2,2
3/D5527,K,1/10561,0.36,K,2,2
3/D5527,K,1/87131,0.67,K,3,3
3/D5537,K,1/10561,0.36,K,2,2
3/D5537,K,1/87131,0.67,K,3,3
3/D9506,K,1/672AA,1.03,K,2,2
3/D9526,K,1/672BB,1.03,K,2,2
3/D9546,K,1/672CC,1.03,K,2,2
3/D9566,K,1/672DD,1.03,K,2,2
3/D9586,K,1/672EE,1.03,K,2,2
3/D9606,K,1/672FF,1.03,K,2,2
3/D9626,K,1/672GG,1.03,K,2,2
3/D9646,K,1/672HH,1.03,K,2,2
3/D9666,K,1/672II,1.03,K,2,2
3/D9686,K,1/672JJ,1.03,K,2,2
3/D9706,K,1/673AA,1.03,K,2,2
3/D9726,K,1/674BB,1.03,K,2,2
3/D9746,K,1/674CC,1.03,K,2,2
3/D9766,K,1/674DD,1.03,K,2,2
3/D9786,K,1/674EE,1.03,K,2,2
3/E1256,K,3/579FA,1.02,K,2,2
3/E1306,K,3/579AA,1.02,K,2,2
3/E1565,K,3/581BA,1.02,K,2,2
3/E1704,K,3/270MA,1.02,K,2,2
3/E1725,K,3/270MA,1.02,K,2,2
3/E1744,K,3/270NA,1.02,K,2,2
3/E1765,K,3/270NA,1.02,K,2,2
3/E2522,K,3/320GA,0.45,K,2,2
3/E2522,K,1/34011,0.58,K,3,3
3/E2532,K,3/320GA,0.45,K,2,2
3/E2532,K,1/36251,0.58,K,3,3
3/E2665,K,3/558CA,1.02,K,2,2
3/E3881,K,3/293RA,1.02,K,2,2
3/E3901,K,3/293TA,1.02,K,2,2
3/E4314,K,3/558CA,1.02,K,2,2
3/E4401,K,3/353VA,1.02,K,2,2
3/E4468,K,3/S2842,1.03,K,2,2
3/E4478,K,3/S2842,0.97,K,2,2
3/E4478,K,1/29281,0.07,K,3,3
3/E5286,K,3/570AA,1.02,K,2,2
3/E7167,K,1/10291,0.39,K,2,2
