コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/135239DB,生機135239DB,ｷﾊﾞﾀ135239DB,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,42259,35216,30185,26411.9,23477.2,21129.5,21129.5,21129.5,,,,,,,,,表示する,
5/135426LH,生機135426LH,ｷﾊﾞﾀ135426LH,反,0.02,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,47960,39967,34257.1,29975,26644.4,23980,23980,23980,,,,,,,,,表示する,
5/135499LX,生機135499LX,ｷﾊﾞﾀ135499LX,反,0.02,P82/N18,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,51621,43018,36872.3,32263.3,28678.4,25810.6,25810.6,25810.6,,,,,,,,,表示する,
5/135521LD,生機135521LD,ｷﾊﾞﾀ135521LD,反,0.02,P73/R14/N13,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,47480,39567,33914.4,29675.1,26377.9,23740.1,23740.1,23740.1,,,,,,,,,表示する,
5/135539HX,生機135539HX,ｷﾊﾞﾀ135539HX,反,0.02,P92/R8,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,41292,34410,29494.1,25807.4,22939.9,20645.9,20645.9,20645.9,,,,,,,,,表示する,
5/135742LX,生機135742LX,ｷﾊﾞﾀ135742LX,反,0.02,P95/R5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,37868,31557,27048.6,23667.5,21037.8,18934,18934,18934,,,,,,,,,表示する,
5/159560VX,生機159560VX,ｷﾊﾞﾀ159560VX,反,0.025,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,68146,56788,48675.7,42591.3,37858.9,34073,34073,34073,,,,,,,,,表示する,
5/159577VX,生機159577VX,ｷﾊﾞﾀ159577VX,反,0.025,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,68146,56788,48675.7,42591.3,37858.9,34073,34073,34073,,,,,,,,,表示する,
5/171143YX,生機171143YX,ｷﾊﾞﾀ171143YX,反,0.02,CU71/P29,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,108982,90818,77844.3,68113.8,60545.6,54491,54491,54491,,,,,,,,,表示する,
5/171144YX,生機171144YX,ｷﾊﾞﾀ171144YX,反,0.02,CU38/TA33/P29,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,111310,92758,79507.1,69568.8,61838.9,55655,55655,55655,,,,,,,,,表示する,
5/171222YX,生機171222YX,ｷﾊﾞﾀ171222YX,反,0.020833333,CU49/R40/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,31816,26513,22725.7,19885,17675.6,15908,15908,15908,,,,,,,,,表示する,
5/171337YX,生機171337YX,ｷﾊﾞﾀ171337YX,反,0.02,R80/CU20,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/290045VX,生機290045VX,ｷﾊﾞﾀ290045VX,反,0.02173913,AC75/P25,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,16616,13847,11868.6,10385,9231.1,8308,8308,8308,,,,,,,,,表示する,
5/290054YB,生機290054YB,ｷﾊﾞﾀ290054YB,反,0.02,R51/L30/P19,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,14660,12217,10471.4,9162.5,8144.4,7330,7330,7330,,,,,,,,,表示する,
5/290128ZX,生機290128ZX,ｷﾊﾞﾀ290128ZX,反,0.01,P100,100M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,39240,32700,28028.6,24525,21800,19620,19620,19620,,,,,,,,,表示する,
5/290169GA,生機290169GA,ｷﾊﾞﾀ290169GA,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,10600,8833,7571.4,6625,5888.9,5300,5300,5300,,,,,,,,,表示する,
5/290170GA,生機290170GA,ｷﾊﾞﾀ290170GA,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,10600,8833,7571.4,6625,5888.9,5300,5300,5300,,,,,,,,,表示する,
5/290172ZX,生機290172ZX,ｷﾊﾞﾀ290172ZX,反,0.02,CU62/P38,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,26096,21747,18640,16310,14497.8,13048,13048,13048,,,,,,,,,表示する,
5/290188YX,生機290188YX,ｷﾊﾞﾀ290188YX,反,0.023809524,P100,42M,165,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,8232,6860,5880,5145,4573.3,4116,4116,4116,,,,,,,,,表示する,
