製品,製品単位,部品,必要量,部品単位
5/295025YX,反,1/25241,9.36,K
5/295026YX,反,1/10061,1.51,K
5/295026YX,反,1/24001,5.32,K
5/295026YX,反,1/25241,8.35,K
5/295027YX,反,1/10061,1.44,K
5/295027YX,反,1/24001,5.06,K
5/295027YX,反,1/25241,7.87,K
5/390022JX,反,1/672BB,7,K
5/390022JX,反,1/672GG,11.51,K
5/390022JX,反,1/673AA,0.87,K
5/390023JX,反,1/672AA,2.18,K
5/390023JX,反,1/672CC,8.35,K
5/390023JX,反,1/672DD,4.28,K
5/390023JX,反,1/672EE,4.54,K
5/390024JX,反,1/672FF,4.86,K
5/390024JX,反,1/672GG,14.52,K
5/390025JX,反,1/672GG,3.43,K
5/390025JX,反,1/672HH,14.11,K
5/390025JX,反,1/672II,1.83,K
5/390026JX,反,1/672GG,10.77,K
5/390026JX,反,1/672JJ,8.61,K
5/039413XE,反,1/12271,2.59,K
5/039413XE,反,1/12391,3.9,K
5/039413XE,反,1/17731,10.5,K
5/039413XE,反,1/20341,1.17,K
5/039413XE,反,1/23961,1.16,K
5/039413XE,反,1/70011,2.44,K
5/039428PX,反,1/12391,8.59,K
5/039428PX,反,1/17731,23.09,K
5/076410CB,反,1/13241,1,K
5/076410CB,反,1/24031,1.99,K
5/076410CB,反,1/25421,4.7,K
5/076410CB,反,1/25511,6.55,K
5/076410CB,反,1/37542,1.59,K
5/076410CB,反,1/56021,1.96,K
5/076410CC,反,1/13241,1,K
5/076410CC,反,1/24031,1.99,K
5/076410CC,反,1/25421,4.7,K
5/076410CC,反,1/25511,6.55,K
5/076410CC,反,1/37542,1.59,K
5/076410CC,反,1/55021,1.96,K
5/079664CB,反,1/13241,8.19,K
5/079664CB,反,1/25871,10.2,K
5/079664FX,反,1/13241,7.67,K
5/079664FX,反,1/85141,9.55,K
5/097064CX,反,1/11151,2.59,K
5/097064CX,反,1/13031,1.2,K
5/097064CX,反,1/25511,4.63,K
5/097064CX,反,1/85181,5.26,K
5/097064JD,反,1/11151,2.56,K
5/097064JD,反,1/13031,1.2,K
5/097064JD,反,1/25312,5.11,K
5/097064JD,反,1/25511,4.63,K
5/097227ZX,反,1/13581,3.95,K
5/097227ZX,反,1/25312,11.74,K
5/097227ZX,反,1/52531,8.64,K
5/097400VX,反,1/10081,2.59,K
5/097400VX,反,1/85131,6.95,K
5/098105VX,反,1/20191,1.41,K
5/098105VX,反,1/56011,6.35,K
5/098262JC,反,1/11691,2.47,K
5/098262JC,反,1/12991,4.61,K
5/098262JC,反,1/25871,3.97,K
5/098286YA,反,1/13251,9.33,K
5/098286YA,反,1/25312,13.4,K
5/098459YB,反,1/10291,3.8,K
5/098459YB,反,1/56131,6.42,K
5/098459YB,反,1/85131,6.6,K
5/098459YB,反,1/85181,2.72,K
5/098477YX,反,1/10291,4.02,K
5/098477YX,反,1/11151,3.49,K
5/098477YX,反,1/23251,6.49,K
5/098557CX,反,1/13251,4.65,K
5/098557CX,反,1/25511,0.3,K
5/098557CX,反,1/25732,4.18,K
5/098557CX,反,1/25871,5.79,K
5/098557CX,反,1/29101,0.1,K
5/098557CX,反,1/51681,0.8,K
5/098557CX,反,1/600SA,1.58,K
5/098761XX,反,1/10291,3.95,K
5/098761XX,反,1/11151,3.57,K
5/098761XX,反,1/23251,6.39,K
5/098762ZX,反,1/25511,9.4,K
5/098762ZX,反,1/48051,11.21,K
