コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/171222YX,染品171222YX,ｿﾒﾋﾝ171222YX,M,48,CU49/R40/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,336,1272640,1090834.3,954480,848426.7,763584,763584,763584,,,,,,,,,表示する,
8/171337YX,染品171337YX,ｿﾒﾋﾝ171337YX,M,50,R80/CU20,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/290045VX,染品290045VX,ｿﾒﾋﾝ290045VX,M,46,AC75/P25,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,201.4,636947,545954.3,477710,424631.1,382168,382168,382168,,,,,,,,,表示する,
8/290054YB,染品290054YB,ｿﾒﾋﾝ290054YB,M,50,R51/L30/P19,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,162,610833,523571.4,458125,407222.2,366500,366500,366500,,,,,,,,,表示する,
8/290128ZX,染品290128ZX,ｿﾒﾋﾝ290128ZX,M,100,P100,100M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,220,3270000,2802857.1,2452500,2180000,1962000,1962000,1962000,,,,,,,,,表示する,
8/290169GA,染品290169GA,ｿﾒﾋﾝ290169GA,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,145.6,441667,378571.4,331250,294444.4,265000,265000,265000,,,,,,,,,表示する,
8/290170GA,染品290170GA,ｿﾒﾋﾝ290170GA,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,145.6,441667,378571.4,331250,294444.4,265000,265000,265000,,,,,,,,,表示する,
8/290172ZX,染品290172ZX,ｿﾒﾋﾝ290172ZX,M,50,CU62/P38,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,307,1087333,932000,815500,724888.9,652400,652400,652400,,,,,,,,,表示する,
8/290188YX,染品290188YX,ｿﾒﾋﾝ290188YX,M,42,P100,42M,165,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,131,288120,246960,216090,192080,172872,172872,172872,,,,,,,,,表示する,
8/291012ZX,染品291012ZX,ｿﾒﾋﾝ291012ZX,M,60,P61/C39,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,91.6,495600,424800,371700,330400,297360,297360,297360,,,,,,,,,表示する,
8/291014YX,染品291014YX,ｿﾒﾋﾝ291014YX,M,59,P100,59M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,115.1,592262,507652.9,444196.3,394841.1,355357,355357,355357,,,,,,,,,表示する,
8/291045YX,染品291045YX,ｿﾒﾋﾝ291045YX,M,58,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,100,505180,433011.4,378885,336786.7,303108,303108,303108,,,,,,,,,表示する,
8/291052YX,染品291052YX,ｿﾒﾋﾝ291052YX,M,58,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,108.6,550420,471788.6,412815,366946.7,330252,330252,330252,,,,,,,,,表示する,
8/292028YX,染品292028YX,ｿﾒﾋﾝ292028YX,M,50,P80/C20,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,69,258333,221428.6,193750,172222.2,155000,155000,155000,,,,,,,,,表示する,
8/292030LX,染品292030LX,ｿﾒﾋﾝ292030LX,M,50,P81/C19,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,70,262500,225000,196875,175000,157500,157500,157500,,,,,,,,,表示する,
8/292040YX,染品292040YX,ｿﾒﾋﾝ292040YX,M,50,P82/C18,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,62,233333,200000,175000,155555.6,140000,140000,140000,,,,,,,,,表示する,
8/292046YX,染品292046YX,ｿﾒﾋﾝ292046YX,M,50,P87/C13,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,73,279167,239285.7,209375,186111.1,167500,167500,167500,,,,,,,,,表示する,
8/292047LX,染品292047LX,ｿﾒﾋﾝ292047LX,M,50,P86/C14,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,72,270833,232142.9,203125,180555.6,162500,162500,162500,,,,,,,,,表示する,
8/292048YX,染品292048YX,ｿﾒﾋﾝ292048YX,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,62,233333,200000,175000,155555.6,140000,140000,140000,,,,,,,,,表示する,
8/292049LX,染品292049LX,ｿﾒﾋﾝ292049LX,M,50,P93/C7,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/292050YX,染品292050YX,ｿﾒﾋﾝ292050YX,M,50,P94/CU6,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/295000YA,染品295000YA,ｿﾒﾋﾝ295000YA,M,50,TA65/P35,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,260,1008333,864285.7,756250,672222.2,605000,605000,605000,,,,,,,,,表示する,
8/295023YX,染品295023YX,ｿﾒﾋﾝ295023YX,M,50,TA73/P27,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,822.5,3294500,2823857.1,2470875,2196333.3,1976700,1976700,1976700,,,,,,,,,表示する,
8/295025YX,染品295025YX,ｿﾒﾋﾝ295025YX,M,50,TA50/R40/P10,50M,123,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,523.8,1817000,1557428.6,1362750,1211333.3,1090200,1090200,1090200,,,,,,,,,表示する,
8/295026YX,染品295026YX,ｿﾒﾋﾝ295026YX,M,50,TA55/R35/P10,50M,114,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,468.4,1559542,1336750,1169656.3,1039694.4,935725,935725,935725,,,,,,,,,表示する,
8/295027YX,染品295027YX,ｿﾒﾋﾝ295027YX,M,50,TA55/R35/P10,50M,115,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,452.8,1599250,1370785.7,1199437.5,1066166.7,959550,959550,959550,,,,,,,,,表示する,
8/295028YX,染品295028YX,ｿﾒﾋﾝ295028YX,M,25,TA57/R34/P9,25M,104,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,570,471042,403750,353281.3,314027.8,282625,282625,282625,,,,,,,,,表示する,
8/295029YX,染品295029YX,ｿﾒﾋﾝ295029YX,M,25,TA57/R34/P9,25M,104,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,50,,E,,,,,反,,600,581708,498607.1,436281.3,387805.6,349025,349025,349025,,,,,,,,,表示する,
8/350035YX,染品350035YX,ｿﾒﾋﾝ350035YX,M,50,P100,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,,HARA,,非対象,5,生機,20,,B,,,,,反,,1650,5271867,4518742.9,3953900,3514577.8,3163120,3163120,3163120,,,,,,,,,表示する,
