元コード,コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,評価下原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
291031YX,5/291031YX,生機:291031YX,ｷﾊﾞﾀ291031YX,反,0.02,L61/P39,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
293000YX,5/293000YX,生機:293000YX,ｷﾊﾞﾀ293000YX,反,0.02,TA72/P28,50M,142,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
293001YX,5/293001YX,生機:293001YX,ｷﾊﾞﾀ293001YX,反,0.02,TA72/P28,50M,133,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
295003YX,5/295003YX,生機:295003YX,ｷﾊﾞﾀ295003YX,反,0.02,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
390002YX,5/390002YX,生機:390002YX,ｷﾊﾞﾀ390002YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
390003YX,5/390003YX,生機:390003YX,ｷﾊﾞﾀ390003YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
390004YX,5/390004YX,生機:390004YX,ｷﾊﾞﾀ390004YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 89493LK,5/089493LK,生機: 89493LK,ｷﾊﾞﾀ 89493LK,反,0.02,P63/C37,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97229YX,5/097229YX,生機: 97229YX,ｷﾊﾞﾀ 97229YX,反,0.02,R100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97237YX,5/097237YX,生機: 97237YX,ｷﾊﾞﾀ 97237YX,反,0.02,TA63/OJ37,50M,155,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97238YX,5/097238YX,生機: 97238YX,ｷﾊﾞﾀ 97238YX,反,0.02,TA51/R49,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97461VX,5/097461VX,生機: 97461VX,ｷﾊﾞﾀ 97461VX,反,0.02,P77/R23,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97504YX,5/097504YX,生機: 97504YX,ｷﾊﾞﾀ 97504YX,反,0.02,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97514YX,5/097514YX,生機: 97514YX,ｷﾊﾞﾀ 97514YX,反,0.02,TA67/P33,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97612YX,5/097612YX,生機: 97612YX,ｷﾊﾞﾀ 97612YX,反,0.02,TA64/P36,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97649YA,5/097649YA,生機: 97649YA,ｷﾊﾞﾀ 97649YA,反,0.02,P100,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98243LX,5/098243LX,生機: 98243LX,ｷﾊﾞﾀ 98243LX,反,0.02,P80/W15/N5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98286YA,5/098286YA,生機: 98286YA,ｷﾊﾞﾀ 98286YA,反,0.02,TA59/P41,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98418ZX,5/098418ZX,生機: 98418ZX,ｷﾊﾞﾀ 98418ZX,反,0.02,P59/TA41,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98420YX,5/098420YX,生機: 98420YX,ｷﾊﾞﾀ 98420YX,反,0.02,CU72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98515YX,5/098515YX,生機: 98515YX,ｷﾊﾞﾀ 98515YX,反,0.02,TA66/P34,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98534YX,5/098534YX,生機: 98534YX,ｷﾊﾞﾀ 98534YX,反,0.02,P56/TA44,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98573YX,5/098573YX,生機: 98573YX,ｷﾊﾞﾀ 98573YX,反,0.02,CU44/P31/TA25,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98616YX,5/098616YX,生機: 98616YX,ｷﾊﾞﾀ 98616YX,反,0.02,TA82/P18,50M,142,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98643YX,5/098643YX,生機: 98643YX,ｷﾊﾞﾀ 98643YX,反,0.02,TA52/P24/R24,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98652LA,5/098652LA,生機: 98652LA,ｷﾊﾞﾀ 98652LA,反,0.02,TA72/P28,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98664YA,5/098664YA,生機: 98664YA,ｷﾊﾞﾀ 98664YA,反,0.02,TA68/P32,50M,137,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
124743YB,5/124743YB,生機:124743YB,ｷﾊﾞﾀ124743YB,反,0.02,TA70/P30,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
124743ZX,5/124743ZX,生機:124743ZX,ｷﾊﾞﾀ124743ZX,反,0.02,TA72/P28,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
159111LX,5/159111LX,生機:159111LX,ｷﾊﾞﾀ159111LX,反,0.02,P84/LY8/C6/RA2,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
170014LX,5/170014LX,生機:170014LX,ｷﾊﾞﾀ170014LX,反,0.02,TA100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
170015LX,5/170015LX,生機:170015LX,ｷﾊﾞﾀ170015LX,反,0.02,TA100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
170048YX,5/170048YX,生機:170048YX,ｷﾊﾞﾀ170048YX,反,0.02,TA52/W30/R18,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
170049LX,5/170049LX,生機:170049LX,ｷﾊﾞﾀ170049LX,反,0.02,TA80/C20,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
182013LX,5/182013LX,生機:182013LX,ｷﾊﾞﾀ182013LX,反,0.02,P50/R50,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
182162YA,5/182162YA,生機:182162YA,ｷﾊﾞﾀ182162YA,反,0.02,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,C,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 25126RX,5/025126RX,生機: 25126RX,ｷﾊﾞﾀ 25126RX,反,0.02,P60/TA40,50M,153,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 55104AX,5/055104AX,生機: 55104AX,ｷﾊﾞﾀ 55104AX,反,0.02,P59/TA41,50Y,58,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,91,76,65.3,57.2,50.8,45.72,45.72,45.72,50,,,,,,,,,表示する,
 55104EF,5/055104EF,生機: 55104EF,ｷﾊﾞﾀ 55104EF,反,0.02,P59/TA41,50Y,58,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,91,76,65.3,57.2,50.8,45.72,45.72,45.72,50,,,,,,,,,表示する,
 79179YA,5/079179YA,生機: 79179YA,ｷﾊﾞﾀ 79179YA,反,0.02,TA75/P25,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 89493LJ,5/089493LJ,生機: 89493LJ,ｷﾊﾞﾀ 89493LJ,反,0.02,P63/C37,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 96914LX,5/096914LX,生機: 96914LX,ｷﾊﾞﾀ 96914LX,反,0.02,P86/C14,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97302ZX,5/097302ZX,生機: 97302ZX,ｷﾊﾞﾀ 97302ZX,反,0.02,TA87/P13,50M,156,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97306HX,5/097306HX,生機: 97306HX,ｷﾊﾞﾀ 97306HX,反,0.02,R65/P35,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97343YX,5/097343YX,生機: 97343YX,ｷﾊﾞﾀ 97343YX,反,0.02,TA57/C43,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97378LX,5/097378LX,生機: 97378LX,ｷﾊﾞﾀ 97378LX,反,0.02,CU73/N27,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97379YX,5/097379YX,生機: 97379YX,ｷﾊﾞﾀ 97379YX,反,0.02,TA62/P38,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97607LA,5/097607LA,生機: 97607LA,ｷﾊﾞﾀ 97607LA,反,0.02,TA59/P41,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97692YX,5/097692YX,生機: 97692YX,ｷﾊﾞﾀ 97692YX,反,0.02,TA88/P12,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97858YX,5/097858YX,生機: 97858YX,ｷﾊﾞﾀ 97858YX,反,0.02,TA66/P34,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97887ZX,5/097887ZX,生機: 97887ZX,ｷﾊﾞﾀ 97887ZX,反,0.02,TA67/P32/PU1,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97891YX,5/097891YX,生機: 97891YX,ｷﾊﾞﾀ 97891YX,反,0.02,P100,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97908ZX,5/097908ZX,生機: 97908ZX,ｷﾊﾞﾀ 97908ZX,反,0.02,P34/TA33/R33,50M,100,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97918YX,5/097918YX,生機: 97918YX,ｷﾊﾞﾀ 97918YX,反,0.02,CU72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 97992ZX,5/097992ZX,生機: 97992ZX,ｷﾊﾞﾀ 97992ZX,反,0.02,CU75/N25,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98105VX,5/098105VX,生機: 98105VX,ｷﾊﾞﾀ 98105VX,反,0.02,RA82/N18,50M,155,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98176YB,5/098176YB,生機: 98176YB,ｷﾊﾞﾀ 98176YB,反,0.02,TA64/P36,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98184VX,5/098184VX,生機: 98184VX,ｷﾊﾞﾀ 98184VX,反,0.02,TA57/P43,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98233LX,5/098233LX,生機: 98233LX,ｷﾊﾞﾀ 98233LX,反,0.02,TA70/P30,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98242HA,5/098242HA,生機: 98242HA,ｷﾊﾞﾀ 98242HA,反,0.02,P75/W18/N7,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98265YA,5/098265YA,生機: 98265YA,ｷﾊﾞﾀ 98265YA,反,0.02,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98287YX,5/098287YX,生機: 98287YX,ｷﾊﾞﾀ 98287YX,反,0.02,TA65/P35,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98289YX,5/098289YX,生機: 98289YX,ｷﾊﾞﾀ 98289YX,反,0.02,TA58/C29/P13,50M,143,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98313YA,5/098313YA,生機: 98313YA,ｷﾊﾞﾀ 98313YA,反,0.02,TA59/P41,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98317YX,5/098317YX,生機: 98317YX,ｷﾊﾞﾀ 98317YX,反,0.02,P51/TA49,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98455YX,5/098455YX,生機: 98455YX,ｷﾊﾞﾀ 98455YX,反,0.02,R40/TA35/P25,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98459YA,5/098459YA,生機: 98459YA,ｷﾊﾞﾀ 98459YA,反,0.02,TA47/L34/P19,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98533YB,5/098533YB,生機: 98533YB,ｷﾊﾞﾀ 98533YB,反,0.02,P55/TA45,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98546HX,5/098546HX,生機: 98546HX,ｷﾊﾞﾀ 98546HX,反,0.02,RA72/P28,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98557JA,5/098557JA,生機: 98557JA,ｷﾊﾞﾀ 98557JA,反,0.02,TA60/P35/R4/L1,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98559ZX,5/098559ZX,生機: 98559ZX,ｷﾊﾞﾀ 98559ZX,反,0.02,TA65/P35,50M,136,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98736YX,5/098736YX,生機: 98736YX,ｷﾊﾞﾀ 98736YX,反,0.02,TA66/P34,50M,142,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98805LX,5/098805LX,生機: 98805LX,ｷﾊﾞﾀ 98805LX,反,0.02,P64/TA36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98811ZX,5/098811ZX,生機: 98811ZX,ｷﾊﾞﾀ 98811ZX,反,0.02,TA64/P36,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98827YX,5/098827YX,生機: 98827YX,ｷﾊﾞﾀ 98827YX,反,0.02,P100,50M,147,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98847LA,5/098847LA,生機: 98847LA,ｷﾊﾞﾀ 98847LA,反,0.02,TA64/P36,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98876LX,5/098876LX,生機: 98876LX,ｷﾊﾞﾀ 98876LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99027YB,5/099027YB,生機: 99027YB,ｷﾊﾞﾀ 99027YB,反,0.02,TA58/P42,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99064YX,5/099064YX,生機: 99064YX,ｷﾊﾞﾀ 99064YX,反,0.02,TA59/P41,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99154YX,5/099154YX,生機: 99154YX,ｷﾊﾞﾀ 99154YX,反,0.02,P100,50M,153,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99204LX,5/099204LX,生機: 99204LX,ｷﾊﾞﾀ 99204LX,反,0.02,TA100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99246GX,5/099246GX,生機: 99246GX,ｷﾊﾞﾀ 99246GX,反,0.02,CU100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99247GX,5/099247GX,生機: 99247GX,ｷﾊﾞﾀ 99247GX,反,0.02,CU54/P46,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99259HX,5/099259HX,生機: 99259HX,ｷﾊﾞﾀ 99259HX,反,0.02,CU62/P38,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99260YX,5/099260YX,生機: 99260YX,ｷﾊﾞﾀ 99260YX,反,0.02,CU61/P29/C10,50M,123,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99261LX,5/099261LX,生機: 99261LX,ｷﾊﾞﾀ 99261LX,反,0.02,CU56/L18/C18/P8,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99262YX,5/099262YX,生機: 99262YX,ｷﾊﾞﾀ 99262YX,反,0.02,TA89/P11,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
