製品,製品単位,部品,必要量,部品単位,行番,不要
4/135239DB,反,J/135239DB,1,反,1,1
4/135239DB,反,1/143AA,1.42,K,2,2
4/135239DB,反,1/024BA,5.71,K,3,3
4/135302LH,反,J/135302LH,1,反,1,1
4/135302LH,反,3/W1686,4.25,K,2,2
4/135302LH,反,3/E1306,4.43,K,3,3
4/135354LG,反,J/135354LG,1,反,1,1
4/135354LG,反,3/E1256,2.41,K,2,2
4/135354LG,反,3/A6304,5.73,K,3,3
4/135426LG,反,J/135426LG,1,反,1,1
4/135426LG,反,3/E1725,6.92,K,2,2
4/135426LG,反,3/A9114,2.39,K,3,3
4/135426LG,反,3/A2831,1.11,K,4,4
4/135426LH,反,J/135426LH,1,反,1,1
4/135426LH,反,3/E1765,6.92,K,2,2
4/135426LH,反,3/A9114,2.39,K,3,3
4/135426LH,反,3/A2831,1.11,K,4,4
4/135499LX,反,J/135499LX,1,反,1,1
4/135499LX,反,3/E2665,2.87,K,2,2
4/135499LX,反,3/E1725,5.5,K,3,3
4/135499LX,反,3/A2831,1.97,K,4,4
4/135520LX,反,J/135520LX,1,反,1,1
4/135520LX,反,3/A8861,3.13,K,2,2
4/135520LX,反,3/E7384,3.97,K,3,3
4/135520LX,反,3/D1844,1.43,K,4,4
4/135521LC,反,J/135521LC,1,反,1,1
4/135521LC,反,3/A8861,3.79,K,2,2
4/135521LC,反,3/E7264,2.19,K,3,3
4/135521LC,反,3/A2814,1.06,K,4,4
4/135521LC,反,3/D1844,1.21,K,5,5
4/135539HX,反,J/135539HX,1,反,1,1
4/135539HX,反,3/A8861,2.65,K,2,2
4/135539HX,反,3/E7544,4.71,K,3,3
4/135539HX,反,3/D1844,0.67,K,4,4
4/135630LX,反,J/135630LX,1,反,1,1
4/135630LX,反,3/H1137,8.23,K,2,2
4/135630LX,反,3/D2357,3.46,K,3,3
4/135644LA,反,J/135644LA,1,反,1,1
4/135644LA,反,3/A0634,7.33,K,2,2
4/135716LX,反,J/135716LX,1,反,1,1
4/135716LX,反,3/C3244,2.79,K,2,2
4/135716LX,反,3/E5286,6.87,K,3,3
4/135741LX,反,J/135741LX,1,反,1,1
4/135741LX,反,3/A5996,7.89,K,2,2
4/135742LA,反,J/135742LA,1,反,1,1
4/135742LA,反,3/E3881,7.17,K,2,2
4/135742LA,反,3/B4584,0.47,K,3,3
4/135742LA,反,1/844HH,0.96,K,4,4
4/135742LX,反,J/135742LX,1,反,1,1
4/135742LX,反,3/E3881,7.17,K,2,2
4/135742LX,反,3/B4584,0.47,K,3,3
4/135742LX,反,1/844HH,0.96,K,4,4
4/157796ZD,反,J/157796ZD,1,反,1,1
4/157796ZD,反,3/E4468,8.08,K,2,2
4/157796ZD,反,3/E4478,0.44,K,3,3
4/158187YX,反,J/158187YX,1,反,1,1
4/158187YX,反,3/D4907,3.76,K,2,2
4/158187YX,反,3/D4917,3.76,K,3,3
4/158388HX,反,J/158388HX,1,反,1,1
4/158388HX,反,3/A3181,12.12,K,2,2
4/159557LX,反,J/159557LX,1,反,1,1
4/159557LX,反,3/A0341,3.75,K,2,2
4/159557LX,反,3/A0221,3.32,K,3,3
4/159558LX,反,J/159558LX,1,反,1,1
4/159558LX,反,3/A0361,1.36,K,2,2
4/159558LX,反,3/A0241,6.8,K,3,3
4/159559LX,反,J/159559LX,1,反,1,1
4/159559LX,反,3/A0361,4.28,K,2,2
4/159559LX,反,3/A0241,4.28,K,3,3
4/159560VX,反,J/159560VX,1,反,1,1
4/159560VX,反,1/16481,1.26,K,2,2
4/159560VX,反,3/A1161,8.57,K,3,3
4/159575LX,反,J/159575LX,1,反,1,1
4/159575LX,反,3/E4401,1.65,K,2,2
4/159575LX,反,3/A0341,4,K,3,3
4/159575LX,反,3/A0221,1.28,K,4,4
4/159575LX,反,3/A2791,0.08,K,5,5
4/159577VX,反,J/159577VX,1,反,1,1
4/159577VX,反,1/16491,1.26,K,2,2
4/159577VX,反,3/A1161,8.57,K,3,3
4/159580ZX,反,J/159580ZX,1,反,1,1
4/159580ZX,反,3/B4966,20.45,K,2,2
4/159603LX,反,J/159603LX,1,反,1,1
4/159603LX,反,3/D4194,11.72,K,2,2
4/165316YX,反,J/165316YX,1,反,1,1
4/165316YX,反,3/H1137,6.72,K,2,2
4/165316YX,反,3/D2327,2.82,K,3,3
4/171020YX,反,J/171020YX,1,反,1,1
4/171020YX,反,3/B2996,10.39,K,2,2
4/171146YA,反,J/171146YA,1,反,1,1
4/171146YA,反,3/B8097,7.37,K,2,2
4/171163YA,反,J/171163YA,1,反,1,1
4/171163YA,反,3/D1708,6.76,K,2,2
4/171163YA,反,3/D1718,6.76,K,3,3
4/171174YX,反,J/171174YX,1,反,1,1
4/171174YX,反,3/B7787,4.12,K,2,2
4/171174YX,反,3/B7797,4.12,K,3,3
4/171202LX,反,J/171202LX,1,反,1,1
4/171202LX,反,3/B1705,9.67,K,2,2
4/171220YX,反,J/171220YX,1,反,1,1
4/171220YX,反,3/B2068,4.21,K,2,2
4/171220YX,反,3/B2078,4.21,K,3,3
4/171222YX,反,J/171222YX,1,反,1,1
4/171222YX,反,3/B2048,4.29,K,2,2
4/171222YX,反,3/B2058,4.29,K,3,3
4/171337YX,反,J/171337YX,1,反,1,1
4/171337YX,反,3/D3896,10.22,K,2,2
4/290034ZX,反,J/290034ZX,1,反,1,1
4/290034ZX,反,1/635OO,4.1,K,2,2
4/290034ZX,反,1/617AA,1.99,K,3,3
4/290034ZX,反,1/618AA,0.11,K,4,4
4/290041YX,反,J/290041YX,1,反,1,1
4/290041YX,反,1/629AA,3.3,K,2,2
4/290045VX,反,J/290045VX,1,反,1,1
4/290045VX,反,3/B1375,7.9,K,2,2
4/290054YB,反,J/290054YB,1,反,1,1
4/290054YB,反,3/D3907,3.11,K,2,2
4/290054YB,反,3/D3917,3.11,K,3,3
4/290128ZX,反,J/290128ZX,1,反,1,1
4/290128ZX,反,1/635TT,7.37,K,2,2
4/290128ZX,反,3/A0401,0.09,K,3,3
4/290168VX,反,J/290168VX,1,反,1,1
4/290168VX,反,3/B8127,5.2,K,2,2
4/290168VX,反,3/B8137,5.2,K,3,3
4/290169GA,反,J/290169GA,1,反,1,1
4/290169GA,反,1/848GG,9.98,K,2,2
4/290169GA,反,1/848HH,1.86,K,3,3
