コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
D/135520LX,染加工:135520LX,ｿﾒｶｺｳ:135520LX,M,50,P84/R16,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,340,283.3,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
D/135521LC,染加工:135521LC,ｿﾒｶｺｳ:135521LC,M,50,P72/R15/N13,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,340,283.3,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
D/135539HX,染加工:135539HX,ｿﾒｶｺｳ:135539HX,M,50,P92/R8,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/135630LX,染加工:135630LX,ｿﾒｶｺｳ:135630LX,M,50,P96/R4,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/135644LA,染加工:135644LA,ｿﾒｶｺｳ:135644LA,M,50,P100,50,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
D/135716LX,染加工:135716LX,ｿﾒｶｺｳ:135716LX,M,50,P71/R29,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/135741LX,染加工:135741LX,ｿﾒｶｺｳ:135741LX,M,50,P85/TA15,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
D/135742LA,染加工:135742LA,ｿﾒｶｺｳ:135742LA,M,50,P95/R5,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/135742LX,染加工:135742LX,ｿﾒｶｺｳ:135742LX,M,50,P95/R5,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/157796ZD,染加工:157796ZD,ｿﾒｶｺｳ:157796ZD,M,50,P100,50M,153,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,340,283.3,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
D/158187YX,染加工:158187YX,ｿﾒｶｺｳ:158187YX,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/158388HX,染加工:158388HX,ｿﾒｶｺｳ:158388HX,M,50,P100,50,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,K,,,,,反,,340,283.3,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
D/159557LX,染加工:159557LX,ｿﾒｶｺｳ:159557LX,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/159558LX,染加工:159558LX,ｿﾒｶｺｳ:159558LX,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,330,275,235.7,206.3,183.3,165,165,165,,,,,,,,,表示する,
D/159559LX,染加工:159559LX,ｿﾒｶｺｳ:159559LX,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,1000,833.3,714.3,625,555.6,500,500,500,,,,,,,,,表示する,
D/159560VX,染加工:159560VX,ｿﾒｶｺｳ:159560VX,M,40,P100,40M,118,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/159575LX,染加工:159575LX,ｿﾒｶｺｳ:159575LX,M,50,P99/N1,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,340,283.3,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
D/159577VX,染加工:159577VX,ｿﾒｶｺｳ:159577VX,M,40,P100,40M,118,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/159580ZX,染加工:159580ZX,ｿﾒｶｺｳ:159580ZX,M,50,P100,50M,180,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/159603LX,染加工:159603LX,ｿﾒｶｺｳ:159603LX,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/165316YX,染加工:165316YX,ｿﾒｶｺｳ:165316YX,M,50,P96/R4,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,460,383.3,328.6,287.5,255.6,230,230,230,,,,,,,,,表示する,
D/171020YX,染加工:171020YX,ｿﾒｶｺｳ:171020YX,M,50,R56/TA28/P16,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,540,450,385.7,337.5,300,270,270,270,,,,,,,,,表示する,
D/171146YA,染加工:171146YA,ｿﾒｶｺｳ:171146YA,M,50,TA66/P21/R13,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
