行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
52,4,,27,1,5/290045YX,6,7,,51,生機:290045YX,,5196 ,B,,AC82/P18,46M,140,1,46,46,290045YX,5196, ,,B,214689A0,I048 ,1,51,13.3, ,B,1000,        ,   ,2015/4/20,1461,290045,,下済,27,4
53,1,,28,1,5/098995ZX,6,7,,55.6,生機: 98995ZX,,5001 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5001, ,,B,114728A1,I039 ,1,55.6,15.9, ,A,1000,        ,   ,2015/4/22,1734,98995,,下済,28,1
54,2,,28,1,5/098995ZX,6,7,,55.6,生機: 98995ZX,,5025 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5025, ,,B,114728B0,I078 ,1,55.6,16, ,A,1000,        ,   ,2015/4/22,1734,98995,,下済,28,2
55,3,,28,1,5/098995ZX,6,7,,55.5,生機: 98995ZX,,5026 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5026, ,,B,114728B0,I078 ,1,55.5,16, ,A,1000,        ,   ,2015/4/22,1734,98995,,下済,28,3
56,1,,29,1,5/098995ZX,6,7,,55.8,生機: 98995ZX,,5027 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5027, ,,B,114728B0,I078 ,1,55.8,16.1, ,A,1000,        ,   ,2015/4/23,1734,98995,,下済,29,1
57,1,,30,1,5/098995ZX,6,7,,55.4,生機: 98995ZX,,5013 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5013, ,,B,114728A1,I039 ,1,55.4,15.8, ,A,1000,        ,   ,2015/5/2,1620,98995,,下済,30,1
58,2,,30,1,5/098995ZX,6,7,,56.2,生機: 98995ZX,,5014 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5014, ,,B,114728A1,I039 ,1,56.2,16.1, ,A,1000,        ,   ,2015/5/2,1620,98995,,下済,30,2
59,1,,31,1,5/098995ZX,6,7,,56,生機: 98995ZX,,5015 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5015, ,,B,114728A1,I039 ,1,56,16, ,A,1000,        ,   ,2015/5/11,1620,98995,,下済,31,1
60,2,,31,1,5/098995ZX,6,7,,55.8,生機: 98995ZX,,5016 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5016, ,,B,114728A1,I039 ,1,55.8,16, ,A,1000,        ,   ,2015/5/11,1620,98995,,下済,31,2
61,3,,31,1,5/098995ZX,6,7,,56.1,生機: 98995ZX,,5039 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5039, ,,B,114728B0,I078 ,1,56.1,16.2, ,A,1000,        ,   ,2015/5/11,1620,98995,,下済,31,3
62,4,,31,1,5/098995ZX,6,7,,55.5,生機: 98995ZX,,5040 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5040, ,,B,114728B0,I078 ,1,55.5,16, ,A,1000,        ,   ,2015/5/11,1620,98995,,下済,31,4
63,1,,32,1,5/098995ZX,6,7,,55.9,生機: 98995ZX,,5041 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5041, ,,B,114728B0,I078 ,1,55.9,16.1, ,A,1000,        ,   ,2015/5/12,1620,98995,,下済,32,1
64,2,,32,1,5/098995ZX,6,7,,55.9,生機: 98995ZX,,5042 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5042, ,,B,114728B0,I078 ,1,55.9,16.1, ,A,1000,        ,   ,2015/5/12,1620,98995,,下済,32,2
65,1,,33,1,5/098995ZX,6,7,,56.1,生機: 98995ZX,,5017 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5017, ,,B,114728A1,I039 ,1,56.1,16, ,A,1000,        ,   ,2015/5/13,1620,98995,,下済,33,1
66,2,,33,1,5/098995ZX,6,7,,55.9,生機: 98995ZX,,5018 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5018, ,,B,114728A1,I039 ,1,55.9,16, ,A,1000,        ,   ,2015/5/13,1620,98995,,下済,33,2
67,3,,33,1,5/098995ZX,6,7,,55.9,生機: 98995ZX,,5043 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5043, ,,B,114728B0,I078 ,1,55.9,16.1, ,A,1000,        ,   ,2015/5/13,1620,98995,,下済,33,3
68,4,,33,1,5/098995ZX,6,7,,56.2,生機: 98995ZX,,5044 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5044, ,,B,114728B0,I078 ,1,56.2,16.2, ,A,1000,        ,   ,2015/5/13,1620,98995,,下済,33,4
69,1,,34,1,5/098995ZX,6,7,,56.5,生機: 98995ZX,,5019 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5019, ,,B,114728A1,I039 ,1,56.5,16.2, ,A,1000,        ,   ,2015/5/14,1620,98995,,下済,34,1
70,2,,34,1,5/098995ZX,6,7,,55.3,生機: 98995ZX,,5020 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5020, ,,B,114728A1,I039 ,1,55.3,15.8, ,A,1000,        ,   ,2015/5/14,1620,98995,,下済,34,2
71,3,,34,1,5/098995ZX,6,7,,55.8,生機: 98995ZX,,5045 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5045, ,,B,114728B0,I078 ,1,55.8,16.1, ,A,1000,        ,   ,2015/5/14,1620,98995,,下済,34,3
72,4,,34,1,5/098995ZX,6,7,,55.7,生機: 98995ZX,,5046 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5046, ,,B,114728B0,I078 ,1,55.7,16, ,A,1000,        ,   ,2015/5/14,1620,98995,,下済,34,4
73,1,,35,1,5/098995ZX,6,7,,56.3,生機: 98995ZX,,5047 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5047, ,,B,114728B0,I078 ,1,56.3,16.2, ,A,1000,        ,   ,2015/5/16,1620,98995,,下済,35,1
74,2,,35,1,5/098995ZX,6,7,,55.4,生機: 98995ZX,,5048 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5048, ,,B,114728B0,I078 ,1,55.4,16, ,A,1000,        ,   ,2015/5/16,1620,98995,,下済,35,2
75,1,,36,1,5/098995ZX,6,7,,56.4,生機: 98995ZX,,5049 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5049, ,,B,114728B0,I078 ,1,56.4,16.2, ,A,1000,        ,   ,2015/5/18,1620,98995,,下済,36,1
76,1,,37,1,5/096765ZX,6,7,,58.2,生機: 96765ZX,,5075 ,A,,P71/R29,50M,148,1,50,50, 96765ZX,5075, ,,B,214839A0,I018 ,1,58.2,18.7, ,A,1000,        ,   ,2015/6/5,1432,96765,,下済,37,1
77,2,,37,1,5/096765ZX,6,7,,58.3,生機: 96765ZX,,5077 ,A,,P71/R29,50M,148,1,50,50, 96765ZX,5077, ,,B,214839A0,I018 ,1,58.3,18.8, ,A,1000,        ,   ,2015/6/5,1432,96765,,下済,37,2
78,3,,37,1,5/096765ZX,6,7,,58,生機: 96765ZX,,5078 ,A,,P71/R29,50M,148,1,50,50, 96765ZX,5078, ,,B,214839A0,I018 ,1,58,18.7, ,A,1000,        ,   ,2015/6/5,1432,96765,,下済,37,3
