元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
099559YA,4/099559YA,整経玉:099559YA,反,ｍ,1,0,1,1,3,HARA,,,,,33529,4,,
099633YX,4/099633YX,整経玉:099633YX,反,ｍ,1,0,1,1,3,HARA,,,,,32104,4,,
099652LA,4/099652LA,整経玉:099652LA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099658YA,4/099658YA,整経玉:099658YA,反,ｍ,1,0,1,1,3,HARA,,,,,20418,4,,
099660EX,4/099660EX,整経玉:099660EX,反,ｍ,1,0,1,1,3,HARA,,,,,16792,4,,
099683YX,4/099683YX,整経玉:099683YX,反,ｍ,1,0,1,1,3,HARA,,,,,30414,4,,
099706YA,4/099706YA,整経玉:099706YA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099707YA,4/099707YA,整経玉:099707YA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099762YX,4/099762YX,整経玉:099762YX,反,ｍ,1,0,1,1,3,HARA,,,,,30122,4,,
099788LX,4/099788LX,整経玉:099788LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099797YX,4/099797YX,整経玉:099797YX,反,ｍ,1,0,1,1,3,HARA,,,,,5201,4,,
099818JX,4/099818JX,整経玉:099818JX,反,ｍ,1,0,1,1,3,HARA,,,,,24312,4,,
099819JX,4/099819JX,整経玉:099819JX,反,ｍ,1,0,1,1,3,HARA,,,,,31046,4,,
099838YX,4/099838YX,整経玉:099838YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
102633ZX,4/102633ZX,整経玉:102633ZX,反,ｍ,1,0,1,1,3,HARA,,,,,20723,4,,
113692YX,4/113692YX,整経玉:113692YX,反,ｍ,1,0,1,1,3,HARA,,,,,17810,4,,
115769PI,4/115769PI,整経玉:115769PI,反,ｍ,1,0,1,1,3,HARA,,,,,16147,4,,
115981JA,4/115981JA,整経玉:115981JA,反,ｍ,1,0,1,1,3,HARA,,,,,8712,4,,
115983JA,4/115983JA,整経玉:115983JA,反,ｍ,1,0,1,1,3,HARA,,,,,8855,4,,
116089XE,4/116089XE,整経玉:116089XE,反,ｍ,1,0,1,1,3,HARA,,,,,16817,4,,
116365JA,4/116365JA,整経玉:116365JA,反,ｍ,1,0,1,1,3,HARA,,,,,33925,4,,
116371YX,4/116371YX,整経玉:116371YX,反,ｍ,1,0,1,1,3,HARA,,,,,10438,4,,
123127ZE,4/123127ZE,整経玉:123127ZE,反,ｍ,1,0,1,1,3,HARA,,,,,28986,4,,
123127ZF,4/123127ZF,整経玉:123127ZF,反,ｍ,1,0,1,1,3,HARA,,,,,29128,4,,
124614VX,4/124614VX,整経玉:124614VX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
126687VX,4/126687VX,整経玉:126687VX,反,ｍ,1,0,1,1,3,HARA,,,,,20546,4,,
126687ZB,4/126687ZB,整経玉:126687ZB,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
127250JB,4/127250JB,整経玉:127250JB,反,ｍ,1,0,1,1,3,HARA,,,,,12894,4,,
127250JC,4/127250JC,整経玉:127250JC,反,ｍ,1,0,1,1,3,HARA,,,,,11052,4,,
127250JD,4/127250JD,整経玉:127250JD,反,ｍ,1,0,1,1,3,HARA,,,,,11338,4,,
130132VX,4/130132VX,整経玉:130132VX,反,ｍ,1,0,1,1,3,HARA,,,,,17530,4,,
135239DA,4/135239DA,整経玉:135239DA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
135392YB,4/135392YB,整経玉:135392YB,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
135426LD,4/135426LD,整経玉:135426LD,反,ｍ,1,0,1,1,3,HARA,,,,,17956,4,,
135499LX,4/135499LX,整経玉:135499LX,反,ｍ,1,0,1,1,3,HARA,,,,,20010.6,4,,
135520LX,4/135520LX,整経玉:135520LX,反,ｍ,1,0,1,1,3,HARA,,,,,15786,4,,
135521LC,4/135521LC,整経玉:135521LC,反,ｍ,1,0,1,1,3,HARA,,,,,17535.1,4,,
135527ZC,4/135527ZC,整経玉:135527ZC,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
135616LG,4/135616LG,整経玉:135616LG,反,ｍ,1,0,1,1,3,HARA,,,,,14960,4,,
135630LX,4/135630LX,整経玉:135630LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
135700LX,4/135700LX,整経玉:135700LX,反,ｍ,1,0,1,1,3,HARA,,,,,14479,4,,
135703LX,4/135703LX,整経玉:135703LX,反,ｍ,1,0,1,1,3,HARA,,,,,14293,4,,
135707LX,4/135707LX,整経玉:135707LX,反,ｍ,1,0,1,1,3,HARA,,,,,14412,4,,
157796ZE,4/157796ZE,整経玉:157796ZE,反,ｍ,1,0,1,1,3,HARA,,,,,14943,4,,
158388HX,4/158388HX,整経玉:158388HX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
159557LX,4/159557LX,整経玉:159557LX,反,ｍ,1,0,1,1,3,HARA,,,,,7936,4,,
159558LX,4/159558LX,整経玉:159558LX,反,ｍ,1,0,1,1,3,HARA,,,,,10111,4,,
159559LX,4/159559LX,整経玉:159559LX,反,ｍ,1,0,1,1,3,HARA,,,,,14140,4,,
159560VX,4/159560VX,整経玉:159560VX,反,ｍ,1,0,1,1,3,HARA,,,,,29873,4,,
159560YX,4/159560YX,整経玉:159560YX,反,ｍ,1,0,1,1,3,HARA,,,,,37433,4,,
159560ZX,4/159560ZX,整経玉:159560ZX,反,ｍ,1,0,1,1,3,HARA,,,,,36795,4,,
159575LX,4/159575LX,整経玉:159575LX,反,ｍ,1,0,1,1,3,HARA,,,,,8258,4,,
159577VX,4/159577VX,整経玉:159577VX,反,ｍ,1,0,1,1,3,HARA,,,,,29873,4,,
159577YX,4/159577YX,整経玉:159577YX,反,ｍ,1,0,1,1,3,HARA,,,,,37287,4,,
159577ZX,4/159577ZX,整経玉:159577ZX,反,ｍ,1,0,1,1,3,HARA,,,,,36795,4,,
159580ZX,4/159580ZX,整経玉:159580ZX,反,ｍ,1,0,1,1,3,HARA,,,,,5291,4,,
165316YX,4/165316YX,整経玉:165316YX,反,ｍ,1,0,1,1,3,HARA,,,,,18358,4,,
170010ZX,4/170010ZX,整経玉:170010ZX,反,ｍ,1,0,1,1,3,HARA,,,,,23418,4,,
171132YA,4/171132YA,整経玉:171132YA,反,ｍ,1,0,1,1,3,HARA,,,,,32425,4,,
171132ZA,4/171132ZA,整経玉:171132ZA,反,ｍ,1,0,1,1,3,HARA,,,,,26785,4,,
171132ZX,4/171132ZX,整経玉:171132ZX,反,ｍ,1,0,1,1,3,HARA,,,,,25671,4,,
171143YX,4/171143YX,整経玉:171143YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
171144YX,4/171144YX,整経玉:171144YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
171163YA,4/171163YA,整経玉:171163YA,反,ｍ,1,0,1,1,3,HARA,,,,,30245,4,,
171163YX,4/171163YX,整経玉:171163YX,反,ｍ,1,0,1,1,3,HARA,,,,,34750,4,,
185112ZA,4/185112ZA,整経玉:185112ZA,反,ｍ,1,0,1,1,3,HARA,,,,,9735,4,,
290012YA,4/290012YA,整経玉:290012YA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290012YX,4/290012YX,整経玉:290012YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290013YA,4/290013YA,整経玉:290013YA,反,ｍ,1,0,1,1,3,HARA,,,,,1573,4,,
290034ZX,4/290034ZX,整経玉:290034ZX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290041YX,4/290041YX,整経玉:290041YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290045VX,4/290045VX,整経玉:290045VX,反,ｍ,1,0,1,1,3,HARA,,,,,4490,4,,
290054YB,4/290054YB,整経玉:290054YB,反,ｍ,1,0,1,1,3,HARA,,,,,3530,4,,
290072ZA,4/290072ZA,整経玉:290072ZA,反,ｍ,1,0,1,1,3,HARA,,,,,3097,4,,
290072ZX,4/290072ZX,整経玉:290072ZX,反,ｍ,1,0,1,1,3,HARA,,,,,3097,4,,
290106YX,4/290106YX,整経玉:290106YX,反,ｍ,1,0,1,1,3,HARA,,,,,850,4,,
290107YX,4/290107YX,整経玉:290107YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290168VX,4/290168VX,整経玉:290168VX,反,ｍ,1,0,1,1,3,HARA,,,,,16270,4,,
290168ZX,4/290168ZX,整経玉:290168ZX,反,ｍ,1,0,1,1,3,HARA,,,,,15628,4,,
290169GA,4/290169GA,整経玉:290169GA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290169GX,4/290169GX,整経玉:290169GX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290170GA,4/290170GA,整経玉:290170GA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290170GX,4/290170GX,整経玉:290170GX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290173YX,4/290173YX,整経玉:290173YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290174YX,4/290174YX,整経玉:290174YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290175YX,4/290175YX,整経玉:290175YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290176YX,4/290176YX,整経玉:290176YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290177YX,4/290177YX,整経玉:290177YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290178YX,4/290178YX,整経玉:290178YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290179YX,4/290179YX,整経玉:290179YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290180YX,4/290180YX,整経玉:290180YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290181YX,4/290181YX,整経玉:290181YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290182YX,4/290182YX,整経玉:290182YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290183YX,4/290183YX,整経玉:290183YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290184YX,4/290184YX,整経玉:290184YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
290184ZX,4/290184ZX,整経玉:290184ZX,反,ｍ,1,0,1,1,3,HARA,,,,,16674,4,,
290185YX,4/290185YX,整経玉:290185YX,反,ｍ,1,0,1,1,3,HARA,,,,,9333,4,,
290186YX,4/290186YX,整経玉:290186YX,反,ｍ,1,0,1,1,3,HARA,,,,,9333,4,,
290187YX,4/290187YX,整経玉:290187YX,反,ｍ,1,0,1,1,3,HARA,,,,,9333,4,,
290188YX,4/290188YX,整経玉:290188YX,反,ｍ,1,0,1,1,3,HARA,,,,,840,4,,
290189YX,4/290189YX,整経玉:290189YX,反,ｍ,1,0,1,1,3,HARA,,,,,4889,4,,
291036YX,4/291036YX,整経玉:291036YX,反,ｍ,1,0,1,1,3,HARA,,,,,300,4,,
291042YX,4/291042YX,整経玉:291042YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
291046YX,4/291046YX,整経玉:291046YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
291047YX,4/291047YX,整経玉:291047YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
291050YX,4/291050YX,整経玉:291050YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
291051YX,4/291051YX,整経玉:291051YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
291052YX,4/291052YX,整経玉:291052YX,反,ｍ,1,0,1,1,3,HARA,,,,,300,4,,
291053YX,4/291053YX,整経玉:291053YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292017YX,4/292017YX,整経玉:292017YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292023YX,4/292023YX,整経玉:292023YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292028YX,4/292028YX,整経玉:292028YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292029LX,4/292029LX,整経玉:292029LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292030LX,4/292030LX,整経玉:292030LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292031YX,4/292031YX,整経玉:292031YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292032LX,4/292032LX,整経玉:292032LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292033YX,4/292033YX,整経玉:292033YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292034YX,4/292034YX,整経玉:292034YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292035YX,4/292035YX,整経玉:292035YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292036YX,4/292036YX,整経玉:292036YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292037YX,4/292037YX,整経玉:292037YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292038LX,4/292038LX,整経玉:292038LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292039YX,4/292039YX,整経玉:292039YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292040YX,4/292040YX,整経玉:292040YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292041YX,4/292041YX,整経玉:292041YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292042LX,4/292042LX,整経玉:292042LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292043YX,4/292043YX,整経玉:292043YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292044YX,4/292044YX,整経玉:292044YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
292045YX,4/292045YX,整経玉:292045YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
295000YA,4/295000YA,整経玉:295000YA,反,ｍ,1,0,1,1,3,HARA,,,,,7290,4,,
295025YX,4/295025YX,整経玉:295025YX,反,ｍ,1,0,1,1,3,HARA,,,,,10062,4,,
295026YX,4/295026YX,整経玉:295026YX,反,ｍ,1,0,1,1,3,HARA,,,,,8936,4,,
295027YX,4/295027YX,整経玉:295027YX,反,ｍ,1,0,1,1,3,HARA,,,,,9748,4,,
390022JX,4/390022JX,整経玉:390022JX,反,ｍ,1,0,1,1,3,HARA,,,,,70075,4,,
390023JX,4/390023JX,整経玉:390023JX,反,ｍ,1,0,1,1,3,HARA,,,,,70048,4,,
390024JX,4/390024JX,整経玉:390024JX,反,ｍ,1,0,1,1,3,HARA,,,,,70102,4,,
390025JX,4/390025JX,整経玉:390025JX,反,ｍ,1,0,1,1,3,HARA,,,,,70075,4,,
390026JX,4/390026JX,整経玉:390026JX,反,ｍ,1,0,1,1,3,HARA,,,,,70125,4,,
039413XE,8/039413,039413 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14990,8,,
039428PX,8/039428,039428 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,17548,8,,
076410CB,8/076410,076410 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,23912,8,,
076410CC,8/076410,076410 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,23324,8,,
079664CB,8/079664,079664 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,21700,8,,
079664FX,8/079664,079664 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20592,8,,
097064CX,8/097064,097064 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,19803,8,,
097064JD,8/097064,097064 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20291,8,,
097227ZX,8/097227,097227 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
097400VX,8/097400,097400 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
098105VX,8/098105,098105 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,17073,8,,
098262JC,8/098262,098262 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14872,8,,
098286YA,8/098286,098286 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
098459YB,8/098459,098459 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,31092,8,,
098477YX,8/098477,098477 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,24004,8,,
098557CX,8/098557,098557 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
098761XX,8/098761,098761 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,23916,8,,
098762ZX,8/098762,098762 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
098847LA,8/098847,098847 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,30576,8,,
099306JA,8/099306,099306 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099307JA,8/099307,099307 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099394YA,8/099394,099394 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099394YX,8/099394,099394 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,28167,8,,
099401JX,8/099401,099401 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20668,8,,
099442VX,8/099442,099442 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099453ZX,8/099453,099453 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,31070,8,,
099510ZX,8/099510,099510 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,18815,8,,
099518YX,8/099518,099518 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099519LX,8/099519,099519 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099536YX,8/099536,099536 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,55867,8,,
099538LX,8/099538,099538 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,45752,8,,
099550YX,8/099550,099550 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,42058,8,,
099556YX,8/099556,099556 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,29696,8,,
099556ZX,8/099556,099556 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,29350,8,,
099559YA,8/099559,099559 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,33529,8,,
099633YX,8/099633,099633 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,32104,8,,
099652LA,8/099652,099652 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099658YA,8/099658,099658 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20418,8,,
099660EX,8/099660,099660 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,16792,8,,
099683YX,8/099683,099683 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,30414,8,,
099706YA,8/099706,099706 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099707YA,8/099707,099707 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099762YX,8/099762,099762 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,30122,8,,
099788LX,8/099788,099788 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
099797YX,8/099797,099797 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,5201,8,,
099818JX,8/099818,099818 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,24312,8,,
099819JX,8/099819,099819 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,31046,8,,
099838YX,8/099838,099838 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
102633ZX,8/102633,102633 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20723,8,,
113692YX,8/113692,113692 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,17810,8,,
115769PI,8/115769,115769 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,16147,8,,
115981JA,8/115981,115981 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,8712,8,,
115983JA,8/115983,115983 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,8855,8,,
116089XE,8/116089,116089 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,16817,8,,
116365JA,8/116365,116365 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,33925,8,,
116371YX,8/116371,116371 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,10438,8,,
123127ZE,8/123127,123127 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,28986,8,,
123127ZF,8/123127,123127 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,29128,8,,
124614VX,8/124614,124614 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
126687VX,8/126687,126687 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20546,8,,
126687ZB,8/126687,126687 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
127250JB,8/127250,127250 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,12894,8,,
127250JC,8/127250,127250 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,11052,8,,
127250JD,8/127250,127250 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,11338,8,,
130132VX,8/130132,130132 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,17530,8,,
135239DA,8/135239,135239 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
135392YB,8/135392,135392 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
135426LD,8/135426,135426 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,17956,8,,
135499LX,8/135499,135499 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,20010.6,8,,
135520LX,8/135520,135520 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,15786,8,,
135521LC,8/135521,135521 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,17535.1,8,,
135527ZC,8/135527,135527 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
135616LG,8/135616,135616 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14960,8,,
135630LX,8/135630,135630 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
135700LX,8/135700,135700 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14479,8,,
135703LX,8/135703,135703 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14293,8,,
135707LX,8/135707,135707 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14412,8,,
157796ZE,8/157796,157796 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14943,8,,
158388HX,8/158388,158388 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
159557LX,8/159557,159557 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,7936,8,,
159558LX,8/159558,159558 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,10111,8,,
159559LX,8/159559,159559 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,14140,8,,
159560VX,8/159560,159560 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,29873,8,,
159560YX,8/159560,159560 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,37433,8,,
159560ZX,8/159560,159560 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,36795,8,,
159575LX,8/159575,159575 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,8258,8,,
159577VX,8/159577,159577 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,29873,8,,
159577YX,8/159577,159577 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,37287,8,,
159577ZX,8/159577,159577 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,36795,8,,
159580ZX,8/159580,159580 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,5291,8,,
165316YX,8/165316,165316 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,18358,8,,
170010ZX,8/170010,170010 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,23418,8,,
171132YA,8/171132,171132 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,32425,8,,
171132ZA,8/171132,171132 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,26785,8,,
171132ZX,8/171132,171132 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,25671,8,,
171143YX,8/171143,171143 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
171144YX,8/171144,171144 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
171163YA,8/171163,171163 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,30245,8,,
171163YX,8/171163,171163 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,34750,8,,
185112ZA,8/185112,185112 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,9735,8,,
290012YA,8/290012,290012 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290012YX,8/290012,290012 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290013YA,8/290013,290013 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,1573,8,,
290034ZX,8/290034,290034 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290041YX,8/290041,290041 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290045VX,8/290045,290045 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,4490,8,,
290054YB,8/290054,290054 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,3530,8,,
290072ZA,8/290072,290072 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,3097,8,,
290072ZX,8/290072,290072 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,3097,8,,
290106YX,8/290106,290106 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,850,8,,
290107YX,8/290107,290107 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290168VX,8/290168,290168 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,16270,8,,
290168ZX,8/290168,290168 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,15628,8,,
290169GA,8/290169,290169 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290169GX,8/290169,290169 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290170GA,8/290170,290170 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290170GX,8/290170,290170 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290173YX,8/290173,290173 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290174YX,8/290174,290174 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290175YX,8/290175,290175 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290176YX,8/290176,290176 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290177YX,8/290177,290177 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290178YX,8/290178,290178 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290179YX,8/290179,290179 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290180YX,8/290180,290180 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290181YX,8/290181,290181 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290182YX,8/290182,290182 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290183YX,8/290183,290183 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290184YX,8/290184,290184 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
290184ZX,8/290184,290184 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,16674,8,,
290185YX,8/290185,290185 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,9333,8,,
290186YX,8/290186,290186 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,9333,8,,
