元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
507JA,3/507JA,507JA:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z300WMｻｷﾖﾘ                                    ,K,本,2,1,1,1,3,HARA,,,,,671.93,3,,
550CS,3/550CS,550CS:ﾄｰﾚTF<84T>SD75/36(215) ﾅ.TPOYF<128T>SD115/36Sﾄﾞｳｶﾘ /                      ,K,本,2,1,1,1,3,HARA,,,,,455.95,3,,
558CA,3/558CA,558CA:ﾄｰﾚTF<84T>SD75/36(215) ﾅﾝﾔT.POY<255T>SD230/48ﾄﾞｳｶﾘ / ｾｯﾄ70ﾟC30 ｱﾙﾐﾉﾐ      ,K,本,2,1,1,1,3,HARA,,,,,408.75,3,,
567CS,3/567CS,567CS:ﾅﾝﾔCDPOYW<280T>SD250/48S / (175D)SA-2                                     ,K,本,2,1,1,1,3,HARA,,,,,533.1,3,,
578NA,3/578NA,578NA:ﾅﾝﾔCDPOY(MC347)W140TSD/36Z / SA-2                                         ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
581AA,3/581AA,581AA:Z10F<56T>SD50/12(B13) ﾅﾝﾔT.POYF<128T>SD115/36 / ﾄﾞｳｶﾘ MOLS                ,K,本,2,1,1,1,3,HARA,,,,,762.9,3,,
582JA,3/582JA,582JA:ﾄｰﾚTW167TBR150/48Z(915)ｾｯﾄ/4 ﾅ.CDSDYW84TSD/36Zｿｳｼ8C369/2 / SA-1           ,K,本,2,1,1,1,3,HARA,,,,,716.69,3,,
A0165,3/A0165,A0165:ﾃ.TW167TBB150/72Z(LST) :Z600 WM : :                                       ,K,本,2,1,1,1,3,HARA,,,,,686.54,3,,
A0221,3/A0221,A0221:DTY.CDW<167T>SD150/48 :<Z150>G : :                                        ,K,本,2,1,1,1,3,HARA,,,,,458.6,3,,
A0241,3/A0241,A0241:DTY.CDW<167T>SD150/48 :/2<Z150>WS : :                                     ,K,本,2,1,1,1,3,HARA,,,,,461.9,3,,
A0341,3/A0341,A0341:T/CD.MIXW<167T>SD150/72:<Z150>G : :                                       ,K,本,2,1,1,1,3,HARA,,,,,530,3,,
A0361,3/A0361,A0361:T/CD.MIXW<167T>SD150/72:/2<Z150>WS : :                                    ,K,本,2,1,1,1,3,HARA,,,,,534,3,,
A0421,3/A0421,A0421:T(SPX)W<330T>SD300/96 :/2<Z150>WS : :                                     ,K,本,2,1,1,1,3,HARA,,,,,452.6,3,,
A1161,3/A1161,A1161:CDWSD150/48(ｺｳｷｮｳﾄﾞ) :/6<Z150>G(120ﾟCX30) : :                             ,K,本,2,1,1,1,3,HARA,,,,,684.1,3,,
A1385,3/A1385,A1385:ﾅﾝﾔCDW84TSD75/36(8C363):ﾄｰﾚTW(ｻｯﾌﾟ)<84T>75/36 X20:<Z600>WM :              ,K,本,2,1,1,1,3,HARA,,,,,918.4,3,,
A2166,3/A2166,A2166:PPT.W(ｲﾝﾋﾞｽﾀ)<111T> :SD100/34Z(1T207) S800WM : :                          ,K,本,2,1,1,1,3,HARA,,,,,1412.09,3,,
A2684,3/A2684,A2684:T.POYW265TSD/48S(3243) :W.ﾍﾞﾙﾄﾛﾝ<22T>20/3(B68) :<Z400>G :                 ,K,本,2,1,1,1,3,HARA,,,,,3456.12,3,,
