コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,ロット,発注連動,分類１,不要,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/291014,品番291014,ﾋﾝﾊﾞﾝ291014,M,59,P100,59M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,115.1,170,145.9,127.6,113.4,102.1,102.1,102.1,,,,,,,,,表示する,
8/291045,品番291045,ﾋﾝﾊﾞﾝ291045,M,58,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,100,150,128.7,112.6,100.1,90.1,90.1,90.1,,,,,,,,,表示する,
8/291052,品番291052,ﾋﾝﾊﾞﾝ291052,M,58,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,108.6,164,140.3,122.8,109.1,98.2,98.2,98.2,,,,,,,,,表示する,
8/292028,品番292028,ﾋﾝﾊﾞﾝ292028,M,50,P80/C20,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,69,103,88.6,77.5,68.9,62,62,62,,,,,,,,,表示する,
8/292030,品番292030,ﾋﾝﾊﾞﾝ292030,M,50,P81/C19,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,20,,B,,,,,反,,70,105,90,78.8,70,63,63,63,,,,,,,,,表示する,
8/292040,品番292040,ﾋﾝﾊﾞﾝ292040,M,50,P82/C18,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,62,93,80,70,62.2,56,56,56,,,,,,,,,表示する,
8/292046,品番292046,ﾋﾝﾊﾞﾝ292046,M,50,P87/C13,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,73,112,95.7,83.8,74.4,67,67,67,,,,,,,,,表示する,
8/292047,品番292047,ﾋﾝﾊﾞﾝ292047,M,50,P86/C14,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,20,,B,,,,,反,,72,108,92.9,81.3,72.2,65,65,65,,,,,,,,,表示する,
8/292048,品番292048,ﾋﾝﾊﾞﾝ292048,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,62,93,80,70,62.2,56,56,56,,,,,,,,,表示する,
8/292049,品番292049,ﾋﾝﾊﾞﾝ292049,M,50,P93/C7,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/292050,品番292050,ﾋﾝﾊﾞﾝ292050,M,50,P94/CU6,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/295000,品番295000,ﾋﾝﾊﾞﾝ295000,M,50,TA65/P35,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,20,,B,,,,,反,,260,403,345.7,302.5,268.9,242,242,242,,,,,,,,,表示する,
8/295023,品番295023,ﾋﾝﾊﾞﾝ295023,M,50,TA73/P27,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,822.5,1318,1129.6,988.4,878.6,790.7,790.7,790.7,,,,,,,,,表示する,
8/295025,品番295025,ﾋﾝﾊﾞﾝ295025,M,50,TA50/R40/P10,50M,123,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,523.8,727,623,545.1,484.6,436.1,436.1,436.1,,,,,,,,,表示する,
8/295026,品番295026,ﾋﾝﾊﾞﾝ295026,M,50,TA55/R35/P10,50M,114,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,468.4,624,534.7,467.9,415.9,374.3,374.3,374.3,,,,,,,,,表示する,
8/295027,品番295027,ﾋﾝﾊﾞﾝ295027,M,50,TA55/R35/P10,50M,115,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,452.8,640,548.3,479.8,426.4,383.8,383.8,383.8,,,,,,,,,表示する,
8/295028,品番295028,ﾋﾝﾊﾞﾝ295028,M,25,TA57/R34/P9,25M,104,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,570,754,646,565.3,502.4,452.2,452.2,452.2,,,,,,,,,表示する,
8/295029,品番295029,ﾋﾝﾊﾞﾝ295029,M,25,TA57/R34/P9,25M,104,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,600,931,797.7,698,620.4,558.4,558.4,558.4,,,,,,,,,表示する,
8/350035,品番350035,ﾋﾝﾊﾞﾝ350035,M,50,P100,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,1650,2109,1807.4,1581.5,1405.8,1265.2,1265.2,1265.2,,,,,,,,,表示する,
