商品コード,商品名/摘要,単位,入数,ケース,仕入日,伝票番号,取引区分,締切,仕入先コード,仕入先名,税転嫁,担当者コード,担当者名,内訳,入荷,倉庫コード,倉庫名,数量,単価,金額,主プロジェクトコード,副プロジェクトコード,プロジェクト名,課税区分,備考,発注番号
N/G4024,G4024:撚糸賃:19648他/ﾃｨﾌｨｺTW110TSD(Z30..,K,0 ,0 ,2015年11月17日,00002779,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,268.4 ,140 ,"37,576 ",,,,課税 8.0%,,
N/J3935,J3935:撚糸賃:19328/PA.ﾃｨﾌｨｺTFSD100/24(..,K,0 ,0 ,2015年11月17日,00002779,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,150.96 ,200 ,"30,192 ",,,,課税 8.0%,,
N/L3417,L3417:撚糸賃:20105/ﾉｲｴ(WZJD2)<145T>130..,K,0 ,0 ,2015年11月17日,00002779,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,187.87 ,400 ,"75,148 ",,,,課税 8.0%,,
N/A0165,A0165:撚糸賃:19846/ﾃ.TW167TBB150/72Z(L..,K,0 ,0 ,2015年11月17日,00002780,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,191.57 ,200 ,"38,314 ",,,,課税 8.0%,,
N/F1448,F1448:撚糸賃:20052/ﾃ.ﾐﾙﾊﾟ190TSD170/63G..,K,0 ,0 ,2015年11月17日,00002780,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,57.52 ,150 ,"8,628 ",,,,課税 8.0%,,
N/W1446,W1446:撚糸賃:20194/Z10F<56T>SD50/12(B1..,K,0 ,0 ,2015年11月17日,00002780,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,14.45 ,250 ,"3,612 ",,,,課税 8.0%,,
N/W1921,W1921:撚糸賃:20118/ﾄｰﾚTF<84T>SD75/36(2..,K,0 ,0 ,2015年11月17日,00002781,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,P,板鼻健太郎P,通常,,HARA,原工場,163.01 ,140 ,"22,821 ",,,,課税 8.0%,,
J/097763JE,097763JE:整経賃:5202,反,0 ,0 ,2015年11月17日,00002782,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,64 ,"1,750 ","112,000 ",,,,課税 8.0%,,
J/098413YB,098413YB:整経賃:5170,反,0 ,0 ,2015年11月17日,00002782,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,0000,共通倉庫,38 ,"1,750 ","66,500 ",,,,課税 8.0%,,
O/078019BA,078019BA:製織賃:5077,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"4,465 ","8,930 ",,,,課税 8.0%,,
O/098413YB,098413YB:製織賃:5016･5056,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,3 ,"7,000 ","21,000 ",,,,課税 8.0%,,
O/098761VX,098761VX:製織賃:5114,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,3 ,"5,555 ","16,665 ",,,,課税 8.0%,,
O/098795YA,098795YA:製織賃:5027,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"5,500 ","11,000 ",,,,課税 8.0%,,
O/159540YX,159540YX:製織賃:5188,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,500 ","7,000 ",,,,課税 8.0%,,
O/171017YA,171017YA:製織賃:4976･5137,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,6 ,"7,815 ","46,890 ",,,,課税 8.0%,,
O/290027YX,290027YX:製織賃:5083,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,6 ,"2,850 ","17,100 ",,,,課税 8.0%,,
O/290029ZX,290029ZX:製織賃:5152,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,3 ,"2,700 ","8,100 ",,,,課税 8.0%,,
O/290034ZX,290034ZX:製織賃:5096,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"3,500 ","14,000 ",,,,課税 8.0%,,
O/290035UX,290035UX:製織賃:5176･5177,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,10 ,"3,000 ","30,000 ",,,,課税 8.0%,,
O/290054YA,290054YA:製織賃:5134,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,800 ","7,600 ",,,,課税 8.0%,,
O/290066VX,290066VX:製織賃:5141,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,8 ,"2,250 ","18,000 ",,,,課税 8.0%,,
O/290108YX,290108YX:製織賃:5165,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"1,900 ","7,600 ",,,,課税 8.0%,,
O/290135YX,290135YX:製織賃:5133,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,1 ,"5,750 ","5,750 ",,,,課税 8.0%,,
O/291011YX,291011YX:製織賃:5037,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,600 ","7,200 ",,,,課税 8.0%,,
O/292002LX,292002LX:製織賃:5129,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"2,700 ","10,800 ",,,,課税 8.0%,,
O/292005YX,292005YX:製織賃:5128,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,250 ","6,500 ",,,,課税 8.0%,,
O/295000YX,295000YX:製織賃:5089･5090･5091他,反,0 ,0 ,2015年11月17日,00002783,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,12 ,"4,808 ","57,696 ",,,,課税 8.0%,,
O/076410CB,076410CB:製織賃:5022,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"4,860 ","9,720 ",,,,課税 8.0%,,
O/079664CB,079664CB:製織賃:5002･5048,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,6 ,"4,860 ","29,160 ",,,,課税 8.0%,,
O/097064JD,097064JD:製織賃:5018,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"6,885 ","13,770 ",,,,課税 8.0%,,
O/098533YB,098533YB:製織賃:5085･5172,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,4.5 ,"7,000 ","31,500 ",,,,課税 8.0%,,
O/124743YB,124743YB:製織賃:5079,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"6,885 ","13,770 ",,,,課税 8.0%,,
O/126947HX,126947HX:製織賃:5119,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,4 ,"5,265 ","21,060 ",,,,課税 8.0%,,
O/127250JA,127250JA:製織賃:5081･5161,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,5 ,"4,860 ","24,300 ",,,,課税 8.0%,,
O/127413JD,127413JD:製織賃:4938,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"6,885 ","13,770 ",,,,課税 8.0%,,
O/171031ZX,171031ZX:製織賃:4977,反,0 ,0 ,2015年11月17日,00002784,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,1 ,"10,125 ","10,125 ",,,,課税 8.0%,,
O/098762ZX,098762ZX:製織賃:5154,反,0 ,0 ,2015年11月17日,00002785,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,4 ,"4,050 ","16,200 ",,,,課税 8.0%,,
O/099344YX,099344YX:製織賃:5155,反,0 ,0 ,2015年11月17日,00002785,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,2 ,"5,265 ","10,530 ",,,,課税 8.0%,,
O/099345YX,099345YX:製織賃:5156,反,0 ,0 ,2015年11月17日,00002785,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,1 ,"8,505 ","8,505 ",,,,課税 8.0%,,
O/099370YX,099370YX:製織賃:5157,反,0 ,0 ,2015年11月17日,00002785,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,4 ,"4,050 ","16,200 ",,,,課税 8.0%,,
O/099446LA,099446LA:製織賃:5195,反,0 ,0 ,2015年11月17日,00002785,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,2 ,"4,860 ","9,720 ",,,,課税 8.0%,,
O/135302LH,135302LH:製織賃:5136,反,0 ,0 ,2015年11月17日,00002786,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,2 ,"4,455 ","8,910 ",,,,課税 8.0%,,
O/135672LX,135672LX:製織賃:5146,反,0 ,0 ,2015年11月17日,00002786,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,1 ,"4,455 ","4,455 ",,,,課税 8.0%,,
O/135682LX,135682LX:製織賃:5167,反,0 ,0 ,2015年11月17日,00002786,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,4 ,"4,860 ","19,440 ",,,,課税 8.0%,,
O/135688YX,135688YX:製織賃:5162,反,0 ,0 ,2015年11月17日,00002786,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,2 ,"4,860 ","9,720 ",,,,課税 8.0%,,
O/SAMPLE-A,綾通賃:99498,本,0 ,0 ,2015年11月17日,00002787,掛仕入,今回,SFN,株式会社ソフィーナ原工場,内税/総額,X9,諸橋寿志,通常,,HARA,原工場,"6,240 ",1.27 ,"7,924 ",,,,課税 8.0%,,
O/SAMPLE-A,綾通賃:165487-R,本,0 ,0 ,2015年11月17日,00002788,掛仕入,今回,SFN,株式会社ソフィーナ原工場,内税/総額,X3,五十嵐澄夫,通常,,HARA,原工場,"5,760 ",0.99 ,"5,702 ",,,,課税 8.0%,,
O/SAMPLE-A,綾通賃:135426-R3,本,0 ,0 ,2015年11月17日,00002789,掛仕入,今回,SFN,株式会社ソフィーナ原工場,内税/総額,X3,五十嵐澄夫,通常,,HARA,原工場,"3,600 ",1.1 ,"3,960 ",,,,課税 8.0%,,
E/UNCHIN,輸出梱包代 127413-JD,M,0 ,0 ,2015年11月19日,00002790,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,"1,002.6 ",20 ,"20,052 ",,,,課税 8.0%,15E1008-1,
D/099285YX,099285YX:染色加工賃,M,0 ,0 ,2015年11月19日,00002791,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,46.8 ,500 ,"23,400 ",,,,課税 8.0%,15E0829-M2,
D/099279YX,099279YX:染色加工賃,M,0 ,0 ,2015年11月19日,00002792,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,49.6 ,500 ,"24,800 ",,,,課税 8.0%,15E0829-M1,
NO731018YX,731018YX:撚糸-製織賃,反,0 ,0 ,2015年11月19日,00002793,掛仕入,今回,721,山甚撚糸株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,27 ,"10,500 ","283,500 ",,,,課税 8.0%,SIYF-021,
D/099344YX,099344YX:染色加工賃,M,0 ,0 ,2015年11月20日,00002794,掛仕入,今回,623,見附染工株式会社,外税/伝票計,K,上村　茂K,通常,,0000,共通倉庫,99.4 ,500 ,"49,700 ",,,,課税 8.0%,1520115,
D/099344YX,099344YX:染色加工賃,M,0 ,0 ,2015年11月20日,00002795,掛仕入,今回,623,見附染工株式会社,外税/伝票計,K,上村　茂K,通常,,0000,共通倉庫,48.3 ,500 ,"24,150 ",,,,課税 8.0%,1520116,
D/099344YX,099344YX:染色加工賃,M,0 ,0 ,2015年11月20日,00002796,掛仕入,今回,623,見附染工株式会社,外税/伝票計,K,上村　茂K,通常,,0000,共通倉庫,99.6 ,500 ,"49,800 ",,,,課税 8.0%,1520114,
D/099344YX,099344YX:染色加工賃,M,0 ,0 ,2015年11月20日,00002797,掛仕入,今回,623,見附染工株式会社,外税/伝票計,K,上村　茂K,通常,,0000,共通倉庫,48.4 ,500 ,"24,200 ",,,,課税 8.0%,1520113,
N/507JA,507JA:撚糸賃:19881他/ﾃｨﾌｨｺTW<110T>SD10..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,323.02 ,150 ,"48,453 ",,,,課税 8.0%,,
N/D3907,D3907:撚糸賃:19848/ﾚﾝﾎﾞｳRF<133T>BR120/..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,31.54 ,350 ,"11,039 ",,,,課税 8.0%,,
N/D3917,D3917:撚糸賃:19849/ﾚﾝﾎﾞｳRF<133T>BR120/..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,23.42 ,350 ,"8,197 ",,,,課税 8.0%,,
N/D5107,D5107:撚糸賃:19809/Z10F<110T>SD100/24(..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,50.78 ,250 ,"12,695 ",,,,課税 8.0%,,
N/D5117,D5117:撚糸賃:19810/Z10F<110T>SD100/24(..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,64.18 ,250 ,"16,045 ",,,,課税 8.0%,,
N/D5517,D5517:撚糸賃:19464他/ﾗｼｰﾅ(V210)<33T>SD..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,69.01 ,400 ,"27,604 ",,,,課税 8.0%,,
N/G4024,G4024:撚糸賃:19631他/ﾃｨﾌｨｺTW110TSD(Z30..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,259.3 ,140 ,"36,302 ",,,,課税 8.0%,,
N/N1823,N1823:撚糸賃:19945/TAC<135T>DL120/55(4..,K,0 ,0 ,2015年11月18日,00002798,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,55.25 ,200 ,"11,050 ",,,,課税 8.0%,,
N/180CA,180CA:撚糸賃:20317/PPT.W(ｲﾝﾋﾞｽﾀ)<83T> ..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,15.92 ,200 ,"3,184 ",,,,課税 8.0%,,
N/180DS,180DS:撚糸賃:20318/PPT.W(ｲﾝﾋﾞｽﾀ)<83T> ..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,14.72 ,200 ,"2,944 ",,,,課税 8.0%,,
N/430GA,430GA:撚糸賃:19325/PA.ﾃｨﾌｨｺTF<110T>SD1..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,214.48 ,180 ,"38,606 ",,,,課税 8.0%,,
N/B2996,B2996:撚糸賃:20074/RF133TSD120/44(ｲｰｸﾞ..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,181.28 ,300 ,"54,384 ",,,,課税 8.0%,,
N/D5107,D5107:撚糸賃:19771/Z10F<110T>SD100/24(..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,56.53 ,250 ,"14,132 ",,,,課税 8.0%,,
N/D5117,D5117:撚糸賃:19772/Z10F<110T>SD100/24(..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,42.14 ,250 ,"10,535 ",,,,課税 8.0%,,
N/G4024,G4024:撚糸賃:19648/ﾃｨﾌｨｺTW110TSD(Z300)..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,24.1 ,140 ,"3,374 ",,,,課税 8.0%,,
N/J3935,J3935:撚糸賃:19328/PA.ﾃｨﾌｨｺTFSD100/24(..,K,0 ,0 ,2015年11月18日,00002799,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,141.78 ,200 ,"28,356 ",,,,課税 8.0%,,
N/169AA,169AA:撚糸賃:19919/CDMCW <195T> 178/ ..,K,0 ,0 ,2015年11月18日,00002800,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,234.9 ,120 ,"28,188 ",,,,課税 8.0%,,
N/A2831,A2831:撚糸賃:19742他/ﾄｰﾚN66.W<78T>SD7..,K,0 ,0 ,2015年11月18日,00002801,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,70.59 ,120 ,"8,470 ",,,,課税 8.0%,,
N/W1921,W1921:撚糸賃:20118/ﾄｰﾚTF<84T>SD75/36(2..,K,0 ,0 ,2015年11月18日,00002802,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,P,板鼻健太郎P,通常,,HARA,原工場,148.45 ,140 ,"20,783 ",,,,課税 8.0%,,
J/099394YX,099394YX:整経賃:5181,反,0 ,0 ,2015年11月18日,00002803,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,6 ,"2,365 ","14,190 ",,,,課税 8.0%,,
J/079664CB,079664CB:整経賃:5061,反,0 ,0 ,2015年11月18日,00002804,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,103 ,"1,750 ","180,250 ",,,,課税 8.0%,,
J/135616LE,135616LE:整経賃:5189,反,0 ,0 ,2015年11月18日,00002805,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,62 ,"1,750 ","108,500 ",,,,課税 8.0%,,
J/135644LA,135644LA:整経賃:5224,反,0 ,0 ,2015年11月18日,00002805,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,4 ,"1,750 ","7,000 ",,,,課税 8.0%,,
O/078019BA,078019BA:製織賃:5077,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"4,465 ","8,930 ",,,,課税 8.0%,,
O/098413YB,098413YB:製織賃:5056,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"7,000 ","14,000 ",,,,課税 8.0%,,
O/098761VX,098761VX:製織賃:5114,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,3 ,"5,555 ","16,665 ",,,,課税 8.0%,,
O/159540YX,159540YX:製織賃:5188,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,500 ","7,000 ",,,,課税 8.0%,,
O/171017YA,171017YA:製織賃:4976･5137,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,6 ,"7,815 ","46,890 ",,,,課税 8.0%,,
O/290027YX,290027YX:製織賃:5083,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,8 ,"2,850 ","22,800 ",,,,課税 8.0%,,
O/290029ZX,290029ZX:製織賃:5152,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"2,700 ","10,800 ",,,,課税 8.0%,,
O/290034ZX,290034ZX:製織賃:5096,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"3,500 ","14,000 ",,,,課税 8.0%,,
O/290035UX,290035UX:製織賃:5176･5177,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,10 ,"3,000 ","30,000 ",,,,課税 8.0%,,
O/290054YA,290054YA:製織賃:5134,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,800 ","7,600 ",,,,課税 8.0%,,
O/290055LX,290055LX:製織賃:5288,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,1 ,"4,209 ","4,209 ",,,,課税 8.0%,,
O/290066VX,290066VX:製織賃:5141,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"2,250 ","9,000 ",,,,課税 8.0%,,
O/290066YX,290066YX:製織賃:4972,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"2,250 ","9,000 ",,,,課税 8.0%,,
O/290108YX,290108YX:製織賃:5165,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"1,900 ","7,600 ",,,,課税 8.0%,,
O/290118YX,290118YX:製織賃:5059･5105･5183,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,9 ,"6,206 ","55,854 ",,,,課税 8.0%,,
O/290136YX,290136YX:製織賃:5133,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,1 ,"6,800 ","6,800 ",,,,課税 8.0%,,
O/291011YX,291011YX:製織賃:5037,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,600 ","7,200 ",,,,課税 8.0%,,
O/292002LX,292002LX:製織賃:5129,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,6 ,"2,700 ","16,200 ",,,,課税 8.0%,,
O/292005YX,292005YX:製織賃:5128,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,250 ","6,500 ",,,,課税 8.0%,,
O/295000YX,295000YX:製織賃:5089･5090･5091他,反,0 ,0 ,2015年11月18日,00002806,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,16 ,"4,808 ","76,928 ",,,,課税 8.0%,,
O/076410CB,076410CB:製織賃:5022,反,0 ,0 ,2015年11月18日,00002807,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,4 ,"4,860 ","19,440 ",,,,課税 8.0%,,
