コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,,主たる倉庫,,発注連動,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
1/15051,15051:原糸:T400 165T68-400,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2016年08月02日
1/15371,15371:原糸:東ﾚＴﾜﾙﾂ167T48-Z20F,15371:ｹﾞﾝｼ:,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月21日
1/15381,15381:原糸:東ﾚT167T48-915,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月07日
1/15791,15791:原糸:帝人T SD167T48-T300H *20F,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年08月27日
1/15831,15831:原糸:帝人T SD167T48-T300H,831SD480,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月08日
1/158CA,158CA:原糸:東ﾚT84T24-WS9A,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年02月06日
1/15921,15921:原糸:帝人T BB167T72-T330HB,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月07日
1/16461,16461:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ)CD1200M,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年06月02日
1/16471,10081:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾌﾞﾗｯｸ)CD1200B,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年01月13日
1/16481,16481:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ)CD500M,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年10月06日
1/16491,16491:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾌﾞﾗｯｸ)CD500B,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年10月06日
1/16711,16711:原糸:南亜POY130T36(115/36)PIN,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年04月20日
1/16781,16781:原糸:南亜POYCD140T36,,K,0 ,,,,2 ,2 ,在庫管理を行わない,課税,0 ,0 ,0 ,月別総平均,,,,,非対象,1,原糸,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,表示する,2015年04月08日
