コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
4/290169GA,整経玉290169GA,ｾｲｹｲﾀﾏ290169GA,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
4/290170GA,整経玉290170GA,ｾｲｹｲﾀﾏ290170GA,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
4/290172ZX,整経玉290172ZX,ｾｲｹｲﾀﾏ290172ZX,反,0.02,CU62/P38,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,19015,15846,13582,11885,10564,9507.68,9507.68,9507.68,,,,,,,,,表示する,
4/290188YX,整経玉290188YX,ｾｲｹｲﾀﾏ290188YX,反,0.023809524,P100,42M,165,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,12556,10463,8969,7848,6976,6278,6278,6278,,,,,,,,,表示する,
4/291012ZX,整経玉291012ZX,ｾｲｹｲﾀﾏ291012ZX,反,0.016666667,P61/C39,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
4/291014YX,整経玉291014YX,ｾｲｹｲﾀﾏ291014YX,反,0.016949153,P100,59M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,600,500,429,375,333,300,300,300,,,,,,,,,表示する,
4/291045YX,整経玉291045YX,ｾｲｹｲﾀﾏ291045YX,反,0.017241379,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,592,493,423,370,329,296,296,296,,,,,,,,,表示する,
4/291052YX,整経玉291052YX,ｾｲｹｲﾀﾏ291052YX,反,0.017241379,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,600,500,429,375,333,300,300,300,,,,,,,,,表示する,
4/292028YX,整経玉292028YX,ｾｲｹｲﾀﾏ292028YX,反,0.02,P80/C20,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
4/292030LX,整経玉292030LX,ｾｲｹｲﾀﾏ292030LX,反,0.02,P81/C19,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
